,district,sub_district,sum(aadhaar_generated)
713,Sahebganj,Pathna,1
714,Sahebganj,Rajmahal,1
715,Sahebganj,Sahebganj,1
716,Sahebganj,Taljhari,17
717,Sahebganj,Udhwa,16
718,Samastipur,Bithan,0
719,Sangli,Jat,9
720,Sangli,Kadegaon,60
721,Sangli,Kavathemahankal,11
722,Sangli,Khanapur,126
723,Sangli,Miraj,2
724,Sangli,Shirala,5
725,Sangli,Tasgaon,294
726,Sangli,Vita,1
727,Sangli,Walwa,64
728,Sangrur,Malerkotla,39
729,Sangrur,Moonak,1
730,Satara,Jaoli,10
731,Satara,Karad,34
732,Satara,Khatav,7
733,Satara,Koregaon,6
734,Satara,Man,1
735,Satara,Patan,16
736,Satara,Phaltan,26
737,Satara,Satara,14
738,Satara,Wai,7
739,Satna,Amarpatan,29
740,Satna,Maihar,63
741,Satna,Nagod,42
742,Satna,Raghurajnagar,108
743,Satna,Ramnagar,32
744,Satna,Rampur-baghelan,48
745,Satna,Unchahara,17
746,Sawai Madhopur,Bonli,2
747,Sawai Madhopur,Gangapur,14
748,Sawai Madhopur,Khandar,1
749,Sehore,Ashta,19
750,Sehore,Budni,1
751,Sehore,Nasrullaganj,11
752,Seoni,Ghansaur,7
753,Seoni,Lakhnadon,5
754,Seoni,Seoni,2
755,Seraikela-Kharsawan,Adityapur,1
756,Seraikela-Kharsawan,Chandil,14
757,Seraikela-Kharsawan,Ichagarh,27
758,Seraikela-Kharsawan,Nimdih,2
759,Seraikela-Kharsawan,Rajnagar,5
760,Seraikela-Kharsawan,Saraikela,1
761,Shahdol,Anuppur,0
762,Shahdol,Beohari,37
763,Shahdol,Jaisinghnagar,30
764,Shahdol,Jaitpur,18
765,Shahdol,Sohagpur,66
766,Shaheed Bhagat Singh Nagar,Balachaur,7
767,Shaheed Bhagat Singh Nagar,Shaheed Bhagat Singh Nagar,16
768,Shajapur,Agar,1
769,Shajapur,Badod,2
770,Shajapur,Kalapipal,1
771,Shajapur,Shujalpur,2
772,Sheopur,Karahal,5
773,Sheopur,Sheopur,11
774,Shimoga,Bhadravati,33
775,Shimoga,Hosanagara,4
776,Shimoga,Shikaripur,15
777,Shimoga,Shimoga,4
778,Shimoga,Sorab,50
779,Shivpuri,Karera,12
780,Shivpuri,Khaniyadhana,12
781,Shivpuri,Kolaras,3
782,Shivpuri,Pichhore,3
783,Shivpuri,Pohari,2
784,Shivpuri,Shivpuri,3
785,Sidhi,Churhat,42
786,Sidhi,Gopadbanas,11
787,Sidhi,Kusmi,7
788,Sidhi,Majholi,19
789,Sidhi,Rampur Naikin,29
790,Sidhi,Sihawal,25
791,Sikar,Danta Ramgarh,2
792,Sikar,Fatehpur,1
793,Sikar,Lachhmangarh,19
794,Sikar,Neem-ka-thana,13
795,Sikar,Sikar,14
796,Sikar,Sri Madhopur,5
797,Simdega,Kolebira,1
